Wed May 21 09:44:57 UTC 2025 Starting regionserver on Worker1
real-time non-blocking time  (microseconds, -R) unlimited
2025-05-21T09:45:53,392 INFO  [StoreOpener-1588230740-1] compactions.CompactionConfiguration: size [minCompactSize:128 MB, maxCompactSize:8.00 EB, offPeakMaxCompactSize:8.00 EB); files [minFilesToCompact:3, maxFilesToCompact:10); ratio 1.200000; off-peak ratio 5.000000; throttle point 2684354560; major period 604800000, major jitter 0.500000, min locality to compact 0.000000; tiered compaction: max_age 9223372036854775807, incoming window min 6, compaction policy for tiered window org.apache.hadoop.hbase.regionserver.compactions.ExploringCompactionPolicy, single output for minor true, compaction window factory org.apache.hadoop.hbase.regionserver.compactions.ExponentialCompactionWindowFactory, region 1588230740 columnFamilyName info
2025-05-21T09:45:53,583 INFO  [StoreOpener-1588230740-1] regionserver.HStore: Store=1588230740/info,  memstore type=DefaultMemStore, storagePolicy=NONE, verifyBulkLoads=false, parallelPutCountPrintThreshold=50, encoding=ROW_INDEX_V1, compression=NONE
2025-05-21T09:45:53,584 INFO  [StoreOpener-1588230740-1] regionserver.HStore: Created cacheConfig: cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheDataCompressed=false, prefetchOnOpen=false, for column family rep_barrier of region 1588230740 
2025-05-21T09:45:53,589 INFO  [StoreOpener-1588230740-1] compactions.CompactionConfiguration: size [minCompactSize:128 MB, maxCompactSize:8.00 EB, offPeakMaxCompactSize:8.00 EB); files [minFilesToCompact:3, maxFilesToCompact:10); ratio 1.200000; off-peak ratio 5.000000; throttle point 2684354560; major period 604800000, major jitter 0.500000, min locality to compact 0.000000; tiered compaction: max_age 9223372036854775807, incoming window min 6, compaction policy for tiered window org.apache.hadoop.hbase.regionserver.compactions.ExploringCompactionPolicy, single output for minor true, compaction window factory org.apache.hadoop.hbase.regionserver.compactions.ExponentialCompactionWindowFactory, region 1588230740 columnFamilyName rep_barrier
2025-05-21T09:45:53,594 INFO  [StoreOpener-1588230740-1] regionserver.HStore: Store=1588230740/rep_barrier,  memstore type=DefaultMemStore, storagePolicy=NONE, verifyBulkLoads=false, parallelPutCountPrintThreshold=50, encoding=ROW_INDEX_V1, compression=NONE
2025-05-21T09:45:53,648 INFO  [StoreOpener-1588230740-1] regionserver.HStore: Created cacheConfig: cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheDataCompressed=false, prefetchOnOpen=false, for column family table of region 1588230740 
2025-05-21T09:45:53,654 INFO  [StoreOpener-1588230740-1] compactions.CompactionConfiguration: size [minCompactSize:128 MB, maxCompactSize:8.00 EB, offPeakMaxCompactSize:8.00 EB); files [minFilesToCompact:3, maxFilesToCompact:10); ratio 1.200000; off-peak ratio 5.000000; throttle point 2684354560; major period 604800000, major jitter 0.500000, min locality to compact 0.000000; tiered compaction: max_age 9223372036854775807, incoming window min 6, compaction policy for tiered window org.apache.hadoop.hbase.regionserver.compactions.ExploringCompactionPolicy, single output for minor true, compaction window factory org.apache.hadoop.hbase.regionserver.compactions.ExponentialCompactionWindowFactory, region 1588230740 columnFamilyName table
2025-05-21T09:45:53,659 INFO  [StoreOpener-1588230740-1] regionserver.HStore: Store=1588230740/table,  memstore type=DefaultMemStore, storagePolicy=NONE, verifyBulkLoads=false, parallelPutCountPrintThreshold=50, encoding=ROW_INDEX_V1, compression=NONE
2025-05-21T09:45:53,891 INFO  [RS_OPEN_META-regionserver/Worker1:16020-0] regionserver.HRegion: Opened 1588230740; next sequenceid=2; SteppingSplitPolicysuper{IncreasingToUpperBoundRegionSplitPolicy{initialSize=268435456, ConstantSizeRegionSplitPolicy{desiredMaxFileSize=9736348160, jitterRate=-0.0932319164276123}}}, FlushLargeStoresPolicy{flushSizeLowerBound=44739242}
2025-05-21T09:45:54,167 INFO  [RS_OPEN_META-regionserver/Worker1:16020-0] regionserver.HRegionServer: Post open deploy tasks for hbase:meta,,1.1588230740, pid=3, masterSystemTime=1747820749627
2025-05-21T09:45:54,275 INFO  [RS_OPEN_META-regionserver/Worker1:16020-0] handler.AssignRegionHandler: Opened hbase:meta,,1.1588230740
2025-05-21T09:45:56,814 INFO  [HBase-Metrics2-1] impl.GlobalMetricRegistriesAdapter: Registering RegionServer,sub=Coprocessor.Region.CP_org.apache.hadoop.hbase.coprocessor.MultiRowMutationEndpoint Metrics about HBase RegionObservers
2025-05-21T09:46:03,066 INFO  [RS_OPEN_PRIORITY_REGION-regionserver/Worker1:16020-0] handler.AssignRegionHandler: Open hbase:namespace,,1747820760635.ef2702dec13572ce9c986f196105235b.
2025-05-21T09:46:03,163 INFO  [StoreOpener-ef2702dec13572ce9c986f196105235b-1] regionserver.HStore: Created cacheConfig: cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheDataCompressed=false, prefetchOnOpen=false, for column family info of region ef2702dec13572ce9c986f196105235b 
2025-05-21T09:46:03,190 INFO  [StoreOpener-ef2702dec13572ce9c986f196105235b-1] compactions.CompactionConfiguration: size [minCompactSize:128 MB, maxCompactSize:8.00 EB, offPeakMaxCompactSize:8.00 EB); files [minFilesToCompact:3, maxFilesToCompact:10); ratio 1.200000; off-peak ratio 5.000000; throttle point 2684354560; major period 604800000, major jitter 0.500000, min locality to compact 0.000000; tiered compaction: max_age 9223372036854775807, incoming window min 6, compaction policy for tiered window org.apache.hadoop.hbase.regionserver.compactions.ExploringCompactionPolicy, single output for minor true, compaction window factory org.apache.hadoop.hbase.regionserver.compactions.ExponentialCompactionWindowFactory, region ef2702dec13572ce9c986f196105235b columnFamilyName info
2025-05-21T09:46:03,255 INFO  [StoreOpener-ef2702dec13572ce9c986f196105235b-1] regionserver.HStore: Store=ef2702dec13572ce9c986f196105235b/info,  memstore type=DefaultMemStore, storagePolicy=NONE, verifyBulkLoads=false, parallelPutCountPrintThreshold=50, encoding=NONE, compression=NONE
2025-05-21T09:46:03,570 INFO  [RS_OPEN_PRIORITY_REGION-regionserver/Worker1:16020-0] regionserver.HRegion: Opened ef2702dec13572ce9c986f196105235b; next sequenceid=2; SteppingSplitPolicysuper{IncreasingToUpperBoundRegionSplitPolicy{initialSize=268435456, ConstantSizeRegionSplitPolicy{desiredMaxFileSize=10563967520, jitterRate=-0.016153857111930847}}}, FlushLargeStoresPolicy{flushSizeLowerBound=-1}
2025-05-21T09:46:03,578 INFO  [RS_OPEN_PRIORITY_REGION-regionserver/Worker1:16020-0] regionserver.HRegionServer: Post open deploy tasks for hbase:namespace,,1747820760635.ef2702dec13572ce9c986f196105235b., pid=6, masterSystemTime=1747820762841
2025-05-21T09:46:03,649 INFO  [RS_OPEN_PRIORITY_REGION-regionserver/Worker1:16020-0] handler.AssignRegionHandler: Opened hbase:namespace,,1747820760635.ef2702dec13572ce9c986f196105235b.
2025-05-21T09:46:56,605 INFO  [RS_OPEN_REGION-regionserver/Worker1:16020-0] handler.AssignRegionHandler: Open students,,1747820815840.34816211f27f904c9371a4b141f8051f.
2025-05-21T09:46:56,611 INFO  [StoreOpener-34816211f27f904c9371a4b141f8051f-1] regionserver.HStore: Created cacheConfig: cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheDataCompressed=false, prefetchOnOpen=false, for column family grades of region 34816211f27f904c9371a4b141f8051f 
2025-05-21T09:46:56,662 INFO  [StoreOpener-34816211f27f904c9371a4b141f8051f-1] compactions.CompactionConfiguration: size [minCompactSize:128 MB, maxCompactSize:8.00 EB, offPeakMaxCompactSize:8.00 EB); files [minFilesToCompact:3, maxFilesToCompact:10); ratio 1.200000; off-peak ratio 5.000000; throttle point 2684354560; major period 604800000, major jitter 0.500000, min locality to compact 0.000000; tiered compaction: max_age 9223372036854775807, incoming window min 6, compaction policy for tiered window org.apache.hadoop.hbase.regionserver.compactions.ExploringCompactionPolicy, single output for minor true, compaction window factory org.apache.hadoop.hbase.regionserver.compactions.ExponentialCompactionWindowFactory, region 34816211f27f904c9371a4b141f8051f columnFamilyName grades
2025-05-21T09:46:56,665 INFO  [StoreOpener-34816211f27f904c9371a4b141f8051f-1] regionserver.HStore: Store=34816211f27f904c9371a4b141f8051f/grades,  memstore type=DefaultMemStore, storagePolicy=NONE, verifyBulkLoads=false, parallelPutCountPrintThreshold=50, encoding=NONE, compression=NONE
2025-05-21T09:46:56,666 INFO  [StoreOpener-34816211f27f904c9371a4b141f8051f-1] regionserver.HStore: Created cacheConfig: cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheDataCompressed=false, prefetchOnOpen=false, for column family info of region 34816211f27f904c9371a4b141f8051f 
2025-05-21T09:46:56,694 INFO  [StoreOpener-34816211f27f904c9371a4b141f8051f-1] compactions.CompactionConfiguration: size [minCompactSize:128 MB, maxCompactSize:8.00 EB, offPeakMaxCompactSize:8.00 EB); files [minFilesToCompact:3, maxFilesToCompact:10); ratio 1.200000; off-peak ratio 5.000000; throttle point 2684354560; major period 604800000, major jitter 0.500000, min locality to compact 0.000000; tiered compaction: max_age 9223372036854775807, incoming window min 6, compaction policy for tiered window org.apache.hadoop.hbase.regionserver.compactions.ExploringCompactionPolicy, single output for minor true, compaction window factory org.apache.hadoop.hbase.regionserver.compactions.ExponentialCompactionWindowFactory, region 34816211f27f904c9371a4b141f8051f columnFamilyName info
2025-05-21T09:46:56,700 INFO  [StoreOpener-34816211f27f904c9371a4b141f8051f-1] regionserver.HStore: Store=34816211f27f904c9371a4b141f8051f/info,  memstore type=DefaultMemStore, storagePolicy=NONE, verifyBulkLoads=false, parallelPutCountPrintThreshold=50, encoding=NONE, compression=NONE
2025-05-21T09:46:56,752 INFO  [RS_OPEN_REGION-regionserver/Worker1:16020-0] regionserver.HRegion: Opened 34816211f27f904c9371a4b141f8051f; next sequenceid=2; SteppingSplitPolicysuper{IncreasingToUpperBoundRegionSplitPolicy{initialSize=268435456, ConstantSizeRegionSplitPolicy{desiredMaxFileSize=10733561920, jitterRate=-3.591477870941162E-4}}}, FlushLargeStoresPolicy{flushSizeLowerBound=67108864}
2025-05-21T09:46:56,772 INFO  [RS_OPEN_REGION-regionserver/Worker1:16020-0] regionserver.HRegionServer: Post open deploy tasks for students,,1747820815840.34816211f27f904c9371a4b141f8051f., pid=11, masterSystemTime=1747820816578
2025-05-21T09:46:56,790 INFO  [RS_OPEN_REGION-regionserver/Worker1:16020-0] handler.AssignRegionHandler: Opened students,,1747820815840.34816211f27f904c9371a4b141f8051f.
2025-05-21T09:49:56,730 INFO  [LruBlockCacheStatsExecutor] hfile.LruBlockCache: totalSize=99.08 MB, usedSize=75.33 KB, freeSize=99.00 MB, max=99.08 MB, blockCount=0, accesses=0, hits=0, hitRatio=0, cachingAccesses=0, cachingHits=0, cachingHitsRatio=0,evictions=29, evicted=0, evictedPerRun=0.0
2025-05-21T09:50:26,887 INFO  [Worker1:16020Replication Statistics #0] regionserver.Replication: Global stats: WAL Edits Buffer Used=0B, Limit=268435456B

2025-05-21T09:51:03,495 INFO  [regionserver/Worker1:16020.Chore.1] regionserver.HRegionServer: MemstoreFlusherChore requesting flush of hbase:meta,,1.1588230740 because 1588230740/info has an old edit so flush to free WALs after random delay 35104 ms
2025-05-21T09:51:13,466 INFO  [regionserver/Worker1:16020.Chore.1] regionserver.HRegionServer: MemstoreFlusherChore requesting flush of hbase:namespace,,1747820760635.ef2702dec13572ce9c986f196105235b. because ef2702dec13572ce9c986f196105235b/info has an old edit so flush to free WALs after random delay 41569 ms
2025-05-21T09:51:38,602 INFO  [MemStoreFlusher.0] regionserver.HRegion: Flushing 1588230740 3/3 column families, dataSize=2.46 KB heapSize=4.98 KB
2025-05-21T09:51:39,581 INFO  [MemStoreFlusher.0] regionserver.DefaultStoreFlusher: Flushed memstore data size=2.29 KB at sequenceid=14 (bloomFilter=true), to=hdfs://mycluster/hbase/data/hbase/meta/1588230740/.tmp/info/ade2112f4c684bf289b879c1a81d9804
2025-05-21T09:51:40,287 INFO  [MemStoreFlusher.0] regionserver.DefaultStoreFlusher: Flushed memstore data size=174 B at sequenceid=14 (bloomFilter=true), to=hdfs://mycluster/hbase/data/hbase/meta/1588230740/.tmp/table/a6a697d482a74652a2ef90dc4b1d2981
2025-05-21T09:51:40,546 INFO  [MemStoreFlusher.0] regionserver.HStore: Added hdfs://mycluster/hbase/data/hbase/meta/1588230740/info/ade2112f4c684bf289b879c1a81d9804, entries=20, sequenceid=14, filesize=7.4 K
2025-05-21T09:51:40,666 INFO  [MemStoreFlusher.0] regionserver.HStore: Added hdfs://mycluster/hbase/data/hbase/meta/1588230740/table/a6a697d482a74652a2ef90dc4b1d2981, entries=4, sequenceid=14, filesize=5.1 K
2025-05-21T09:51:40,679 INFO  [MemStoreFlusher.0] regionserver.HRegion: Finished flush of dataSize ~2.46 KB/2515, heapSize ~4.70 KB/4808, currentSize=0 B/0 for 1588230740 in 2078ms, sequenceid=14, compaction requested=false
2025-05-21T09:51:55,043 INFO  [MemStoreFlusher.0] regionserver.HRegion: Flushing ef2702dec13572ce9c986f196105235b 1/1 column families, dataSize=78 B heapSize=488 B
2025-05-21T09:51:55,542 INFO  [MemStoreFlusher.0] regionserver.DefaultStoreFlusher: Flushed memstore data size=78 B at sequenceid=6 (bloomFilter=true), to=hdfs://mycluster/hbase/data/hbase/namespace/ef2702dec13572ce9c986f196105235b/.tmp/info/553054cdc6ae4fb6b1347b12f3dd8e20
2025-05-21T09:51:55,792 INFO  [MemStoreFlusher.0] regionserver.HStore: Added hdfs://mycluster/hbase/data/hbase/namespace/ef2702dec13572ce9c986f196105235b/info/553054cdc6ae4fb6b1347b12f3dd8e20, entries=2, sequenceid=6, filesize=4.8 K
2025-05-21T09:51:55,808 INFO  [MemStoreFlusher.0] regionserver.HRegion: Finished flush of dataSize ~78 B/78, heapSize ~472 B/472, currentSize=0 B/0 for ef2702dec13572ce9c986f196105235b in 761ms, sequenceid=6, compaction requested=false
2025-05-21T09:54:42,566 INFO  [LruBlockCacheStatsExecutor] hfile.LruBlockCache: totalSize=99.08 MB, usedSize=75.33 KB, freeSize=99.00 MB, max=99.08 MB, blockCount=0, accesses=0, hits=0, hitRatio=0, cachingAccesses=0, cachingHits=0, cachingHitsRatio=0,evictions=59, evicted=0, evictedPerRun=0.0
2025-05-21T09:55:12,742 INFO  [Worker1:16020Replication Statistics #0] regionserver.Replication: Global stats: WAL Edits Buffer Used=0B, Limit=268435456B

2025-05-21T09:59:28,339 INFO  [LruBlockCacheStatsExecutor] hfile.LruBlockCache: totalSize=99.08 MB, usedSize=79.18 KB, freeSize=99.00 MB, max=99.08 MB, blockCount=2, accesses=2, hits=0, hitRatio=0, cachingAccesses=2, cachingHits=0, cachingHitsRatio=0,evictions=89, evicted=0, evictedPerRun=0.0
2025-05-21T09:59:58,465 INFO  [Worker1:16020Replication Statistics #0] regionserver.Replication: Global stats: WAL Edits Buffer Used=0B, Limit=268435456B

2025-05-21T10:04:13,997 INFO  [LruBlockCacheStatsExecutor] hfile.LruBlockCache: totalSize=99.08 MB, usedSize=79.18 KB, freeSize=99.00 MB, max=99.08 MB, blockCount=2, accesses=4, hits=2, hitRatio=50.00%, , cachingAccesses=4, cachingHits=2, cachingHitsRatio=50.00%, evictions=119, evicted=0, evictedPerRun=0.0
2025-05-21T10:04:44,152 INFO  [Worker1:16020Replication Statistics #0] regionserver.Replication: Global stats: WAL Edits Buffer Used=0B, Limit=268435456B

2025-05-21T10:08:59,588 INFO  [LruBlockCacheStatsExecutor] hfile.LruBlockCache: totalSize=99.08 MB, usedSize=79.18 KB, freeSize=99.00 MB, max=99.08 MB, blockCount=2, accesses=6, hits=4, hitRatio=66.67%, , cachingAccesses=6, cachingHits=4, cachingHitsRatio=66.67%, evictions=149, evicted=0, evictedPerRun=0.0
